Generation,Reward,Best Controller Weights,Best Structure,Best Fitness,Mean Fitness,Std Fitness,Execution Time
10,0.049244700021056464,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.049244700021056464,0.0012311175005264117,0.007688326326580681,2923.5399627685547
11,0.049244700021056464,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.049244700021056464,0.000548239170229288,0.015576612974080157,2923.5399627685547
12,0.049244700021056464,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.049244700021056464,0.004442936676960098,0.015232837405747351,2923.5399627685547
13,0.049244700021056464,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.049244700021056464,-0.17624818337897197,0.811443889109802,2923.5399627685547
14,0.049244700021056464,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.049244700021056464,0.01932562001977625,0.021470214968660258,2923.5399627685547
15,0.05325530779931681,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.05325530779931681,0.016694312433231325,0.02663856825982313,2923.5399627685547
16,0.05325530779931681,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.05325530779931681,0.012808514605786404,0.027617902150819874,2923.5399627685547
17,0.06478522834870443,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.06478522834870443,-0.17229451053129702,0.8315143416019929,2923.5399627685547
18,0.06478522834870443,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.06478522834870443,0.020164672586148888,0.036187301663596905,2923.5399627685547
19,0.06478522834870443,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.06478522834870443,0.02121575785494676,0.02778765485403497,2923.5399627685547
